Name,Gender,LastLetter,LastTwoLetter,FirstLetter
Purvaja,2,a,ja,P
Tula,1,a,la,T
Jayitri,2,i,ri,J
Natkuna,2,a,na,N
Nagaraj,1,j,aj,N
Madhumalati,2,i,ti,M
Jayaprakash,1,h,sh,J
Manali,2,i,li,M
Ulka,2,a,ka,U
Tautik,1,k,ik,T
Yajat,1,t,at,Y
Pankti,2,i,ti,P
Sannidhi,2,i,hi,S
Devesh,1,h,sh,D
Teesta,2,a,ta,T
"Manisha, Mohisha",2,a,ha,M
Adwaya,1,a,ya,A
Hemangi,2,i,gi,H
Damini,2,i,ni,D
Abhinanda,1,a,da,A
Archit,1,t,it,A
Jagjeevan,1,n,an,J
Shrestha,2,a,ha,S
Kaveri,2,i,ri,K
Acanda,1,a,da,A
Chetana,2,a,na,C
Subash,1,h,sh,S
Sur,1,r,ur,S
Nabhoj,1,j,oj,N
Vineeta,2,a,ta,V
Purandar,1,r,ar,P
Nilima,2,a,ma,N
Lalan,2,n,an,L
Nripa,1,a,pa,N
Vaanadhi,2,i,hi,V
Yuvati,2,i,ti,Y
Madhuk,1,k,uk,M
Neeta,2,a,ta,N
Kuval,1,l,al,K
Trigun,1,n,un,T
Danuj,1,j,uj,D
Panchali,2,i,li,P
Sudhith,1,h,th,S
Narayan,1,n,an,N
Naganika,2,a,ka,N
Poonam,2,m,am,P
Shuddhashil,1,l,il,S
Pulin,1,n,in,P
Parvatinandan,1,n,an,P
Dev,1,v,ev,D
Sharadini,2,i,ni,S
Vishalakshi,2,i,hi,V
Sandhya,2,a,ya,S
Yadukumara,1,a,ra,Y
Maruti,1,i,ti,M
Chirayu,1,u,yu,C
Madhurima,2,a,ma,M
Sharadindu,1,u,du,S
Shuchismita,2,a,ta,S
Aishani,2,i,ni,A
Adishree,2,e,ee,A
Gangika,2,a,ka,G
Malarvendan,1,n,an,M
Swatantar,1,r,ar,S
Diti,2,i,ti,D
Zaafir,1,r,ir,Z
Dayita,2,a,ta,D
Kalandhika,2,a,ka,K
Ratnalekha,2,a,ha,R
Thayanban,1,n,an,T
Vibhas,1,s,as,V
Siddhima,2,a,ma,S
Naman,1,n,an,N
Rupeshwari,2,i,ri,R
Yaalini,2,i,ni,Y
Haleema,2,a,ma,H
Phiroza,2,a,za,P
Gurpraveen,2,n,en,G
Fakhry,1,y,ry,F
Chandrakiran,1,n,an,C
Vishram,1,m,am,V
Laalamani,2,i,ni,L
Ramkishore,1,e,re,R
Paresh,1,h,sh,P
Shrikanta,1,a,ta,S
Mrigankasekhar,1,r,ar,M
Yaduvir,1,r,ir,Y
Harshad,1,d,ad,H
Gayatri,2,i,ri,G
Megh,1,h,gh,M
Amlankusum,1,m,um,A
Iri,1,i,ri,I
Vanshika,2,a,ka,V
Japan,1,n,an,J
Zannat,2,t,at,Z
Yaalisai,2,i,ai,Y
Gayana,2,a,na,G
Marut,1,t,ut,M
Kantilal,1,l,al,K
Faiyaz,1,z,az,F
Omkarnath,1,h,th,O
Vanalakshmi,2,i,mi,V
Milika,2,a,ka,M
Ranajay,1,y,ay,R
Yogesh,1,h,sh,Y
Hasmukh,1,h,kh,H
Mujeeb,1,b,eb,M
Jyotsna,2,a,na,J
Srujanika,2,a,ka,S
Ishani,2,i,ni,I
Ellu,1,u,lu,E
Madira,2,a,ra,M
Pooja,2,a,ja,P
Shantashil,1,l,il,S
Saipraasad,1,d,ad,S
Radhika,2,a,ka,R
Srivas,1,s,as,S
Nathan,1,n,an,N
Srinika,2,a,ka,S
Shahid,1,d,id,S
Avatar,1,r,ar,A
Harihar,1,r,ar,H
Abhidha,2,a,ha,A
Manjunath,1,h,th,M
Nivritti,2,i,ti,N
Ekachith,1,h,th,E
Idaspati,1,i,ti,I
Vrishin,1,n,in,V
Gangol,1,l,ol,G
Rajendra,1,a,ra,R
Maagh,1,h,gh,M
Anula,2,a,la,A
Bhojaraja,1,a,ja,B
Drupad,1,d,ad,D
"Aftab,Aftaab",1,b,ab,A
Raman,1,n,an,R
"Amrit, Amrik",1,k,ik,A
Hritish,1,h,sh,H
Kusumesh,1,h,sh,K
Menmoli,2,i,li,M
Sphatika,2,a,ka,S
Rijul,1,l,ul,R
Shalmali,2,i,li,S
Nathin,1,n,in,N
Pugal,1,l,al,P
Saakaar,1,r,ar,S
Utalika,2,a,ka,U
Swati,2,i,ti,S
Muni,1,i,ni,M
Drishya,2,a,ya,D
Sitikantha,1,a,ha,S
Parveen,2,n,en,P
Vedavathi,2,i,hi,V
Raghunandan,1,n,an,R
Shravankumar,1,r,ar,S
Marichi,2,i,hi,M
Vikramajit,1,t,it,V
Satyavrata,1,a,ta,S
Iha,2,a,ha,I
Rohan,1,n,an,R
Krishnaroop,1,p,op,K
Ajamil,1,l,il,A
Vanhishikha,2,a,ha,V
Amanath,1,h,th,A
Omaja,2,a,ja,O
Prasun,1,n,un,P
Gul,2,l,ul,G
Samarendra,1,a,ra,S
Ghanendra,1,a,ra,G
Abhijna,2,a,na,A
Venkataraman,1,n,an,V
Xena,2,a,na,X
Yuvaraj,1,j,aj,Y
Bipasha,2,a,ha,B
Timir,1,r,ir,T
Gurumurthi,1,i,hi,G
Suhag,2,g,ag,S
Kshitija,2,a,ja,K
Krishna,2,a,na,K
Nagesh,1,h,sh,N
Vedmohan,1,n,an,V
Tanuka,2,a,ka,T
Thumri,2,i,ri,T
Tripta,2,a,ta,T
Lingan,1,n,an,L
Prbhavati,2,i,ti,P
Lajita,2,a,ta,L
Rubaina,2,a,na,R
Aashish,1,h,sh,A
Pavitra,2,a,ra,P
Sudarshana,2,a,na,S
Shyamangi,2,i,gi,S
Deepana,2,a,na,D
Kaishori,2,i,ri,K
Aashirya,2,a,ya,A
Gulzar,1,r,ar,G
Prakriti,1,i,ti,P
Sujan,1,n,an,S
Pavanaj,1,j,aj,P
Parni,2,i,ni,P
Saguna,2,a,na,S
Hanuman,1,n,an,H
Jamadagni,1,i,ni,J
Mithilesh,1,h,sh,M
Abhilasa,2,a,sa,A
Akash,1,h,sh,A
Udayachal,1,l,al,U
Kalakarni,2,i,ni,K
Surendra,1,a,ra,S
Palani,1,i,ni,P
Ibhya,1,a,ya,I
Sanchay,1,y,ay,S
Acaryasuta,1,a,ta,A
Rathika,2,a,ka,R
Mirium,2,m,um,M
Kamakya,2,a,ya,K
Prabhu,1,u,hu,P
Lavangi,2,i,gi,L
Thogai,2,i,ai,T
Dhyanesh,1,h,sh,D
Madhula,2,a,la,M
Mahipal,1,l,al,M
Mamraj,1,j,aj,M
Chahat,2,t,at,C
Kodhai,2,i,ai,K
Gyanada,2,a,da,G
Nabhi,1,i,hi,N
Govindi,2,i,di,G
Amogh,1,h,gh,A
Chandrika,2,a,ka,C
Vijayalaksmi,2,i,mi,V
Shashidhar,1,r,ar,S
"Ashwin, Asvin",1,n,in,A
Zeeshan,1,n,an,Z
Mahaniya,1,a,ya,M
Yuvika,2,a,ka,Y
Deveshwar,1,r,ar,D
Subinay,1,y,ay,S
Niramay,1,y,ay,N
Samhita,2,a,ta,S
Devachandra,1,a,ra,D
Mohit,1,t,it,M
